Index;Start Time;End Time;Query Granularity;Subnetwork;Subnetwork Name;ManagedElement;ManagedElement Name;Cell;Cell Name;eNodeB;eNodeB Name;Product;LTE PS Traffic;[FDD]Mean RRC-Connected User Number;Average DL Active E-RAB Number;Average UL Active E-RAB Number;[LTE]PDSCH PRB Utilization Rate;[FDD]PUSCH PRB Utilization Rate;LTE DL User throughput;LTE UL User throughput;[LTE]Average CQI;%CQI<7;%RI2_TM4;LTE RTWP;Maximum Cell Transmit Power(W);~TA Average m;[LTE] RSRP_average;[LTE] %RSRP<-116;SINR_PUSCH_Average;SINR_PUSCH<=-2;[LTE] RSRQ_Average;[LTE] %RSRQ<=-12;[FDD]Cell Downlink BLER;[FDD]Cell Uplink BLER;LTE CSSR;LTE RRC SR;LTE E-RAB SR;LTE S1SIG SR;LTE Call Drop;LTE CSFB SR;LTE Inter-Fre HOSR;LTE Intra-Fre HOSR
15668;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3013;RNC2013(3013);4288;MAD0002_SECTOR 03;3;MAD0002B4G03;310002;MAD0002B4G;LTE FDD;52100.4212;18.5964;5.1531;4.9362;51.26%;12.50%;2604.833;2941.9512;7.3306;42.49%;15.7182;-111.9618;35.645;774.2976;-98.8275;3.9179;10.3883;5.3794;-18.5163;99.71%;15.43%;8.86%;99.26%;99.85%;99.819;99.59%;31;100.00%;99.71%;99.51%
2032;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 01;1;MAD0003B4G01;310003;MAD0003B4G;LTE FDD;67729.9313;24.7378;6.9793;6.7291;61.68%;20.08%;1937.0252;2830.6853;8.2925;33.96%;18.1344;-113.8478;19.408;919.9853;-108.6866;25.333;6.1875;10.1595;-17.7572;98.43%;15.29%;9.81%;99.73%;99.88%;99.8487;100.00%;20;100.00%;99.57%;99.59%
4305;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 01;1;MAD0003B4G01;310003;MAD0003B4G;LTE FDD;74237.837;30.7527;8.3714;8.1941;68.16%;23.16%;1580.0936;3081.8872;8.3608;35.08%;17.3349;-113.61;19.498;877.0624;-108.9122;24.7387;5.6149;12.0935;-17.8784;97.78%;15.10%;9.66%;99.74%;99.88%;99.8629;100.00%;26;99.94%;99.08%;99.32%
6578;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 01;1;MAD0003B4G01;310003;MAD0003B4G;LTE FDD;63463.8885;26.6557;7.3084;6.9774;57.87%;18.90%;1898.6277;2436.465;8.2672;32.04%;16.8632;-114.4376;19.364;966.3329;-109.3156;26.3171;7.2984;8.4349;-17.6044;98.31%;15.33%;10.25%;99.12%;99.91%;99.9044;99.30%;88;100.00%;99.25%;99.44%
8850;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 01;1;MAD0003B4G01;310003;MAD0003B4G;LTE FDD;59470.6503;25.2278;7.8483;7.4219;62.38%;18.29%;1386.9599;2148.6305;7.7921;39.59%;16.078;-114.0542;19.453;977.3066;-110.5261;29.2645;5.9919;11.4728;-18.1332;99.23%;15.12%;9.53%;99.77%;99.93%;99.8439;99.99%;40;100.00%;99.48%;99.41%
11122;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 01;1;MAD0003B4G01;310003;MAD0003B4G;LTE FDD;55383.6334;23.0127;7.0355;6.6907;60.04%;16.14%;1471.5469;2133.1616;7.8125;36.84%;13.4084;-114.5537;19.408;939.3456;-109.536;27.2347;6.5163;10.212;-17.8987;98.64%;15.08%;9.56%;99.81%;99.92%;99.8939;100.00%;23;100.00%;99.59%;99.44%
13399;15/06/2023 00:00;16/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 01;1;MAD0003B4G01;310003;MAD0003B4G;LTE FDD;56730.7338;22.5481;6.3044;5.9851;55.99%;16.33%;1853.7593;2472.8081;8.1139;33.33%;18.2526;-114.5738;19.364;919.0394;-109.0439;28.8947;6.7644;10.2872;-17.6519;99.00%;15.19%;9.41%;99.72%;99.81%;99.9133;99.99%;32;99.93%;99.61%;99.41%
15676;16/06/2023 00:00;17/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 01;1;MAD0003B4G01;310003;MAD0003B4G;LTE FDD;56022.0348;22.1249;5.8225;5.8648;51.99%;14.91%;2106.2043;2493.7976;8.2469;32.86%;18.8451;-114.2938;19.498;972.0632;-106.9931;19.7745;7.5963;9.6394;-17.7105;98.70%;15.29%;9.40%;99.33%;99.84%;99.8525;99.63%;55;99.86%;99.01%;99.56%
2033;10/06/2023 00:00;11/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 02;2;MAD0003B4G02;310003;MAD0003B4G;LTE FDD;75537.5198;21.4455;5.8231;6.3366;39.90%;10.68%;5383.0297;2405.4585;9.9357;10.76%;39.619;-115.8061;72.798;454.5176;-108.1402;17.0122;12.1213;2.1243;-17.7246;98.59%;14.74%;10.09%;99.90%;99.94%;99.9599;100.00%;13;99.89%;99.30%;99.90%
4306;11/06/2023 00:00;12/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 02;2;MAD0003B4G02;310003;MAD0003B4G;LTE FDD;91726.4623;22.1762;6.8998;6.951;47.06%;13.17%;4482.0528;2882.9798;9.9295;10.50%;35.6114;-114.2851;73.541;463.4405;-108.7482;17.2823;12.532;2.2043;-17.7404;98.41%;14.58%;10.48%;99.85%;99.89%;99.9602;100.00%;20;100.00%;100.00%;100.00%
6579;12/06/2023 00:00;13/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 02;2;MAD0003B4G02;310003;MAD0003B4G;LTE FDD;77018.9648;22.6842;6.6177;6.5087;39.43%;11.59%;4496.1981;2583.9343;9.7717;11.82%;39.5964;-115.3345;74.307;465.306;-108.0974;14.9038;12.2438;3.013;-17.7907;98.38%;14.85%;9.74%;99.17%;99.89%;99.9598;99.32%;48;99.90%;100.00%;99.87%
8851;13/06/2023 00:00;14/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 02;2;MAD0003B4G02;310003;MAD0003B4G;LTE FDD;94990.1114;26.1507;8.6847;8.5611;52.31%;23.74%;2580.8736;2614.8148;9.7543;12.20%;39.1042;-108.5875;73.542;473.4536;-109.4118;16.9049;7.4753;8.28;-17.9201;98.62%;14.38%;8.79%;99.78%;99.83%;99.9492;100.00%;24;100.00%;98.44%;100.00%
11123;14/06/2023 00:00;15/06/2023 00:00;1Day(s);3013;RNC2013(3013);4289;MAD0003_SECTOR 02;2;MAD0003B4G02;310003;MAD0003B4G;LTE FDD;88530.6201;25.2555;7.7885;8.1415;44.72%;12.86%;4462.1657;2281.0977;10.0448;10.25%;40.0628;-114.2951;74.398;460.7796;-107.8036;14.3282;12.1927;2.7937;-17.4965;98.68%;14.39%;9.72%;99.83%;99.87%;99.9684;100.00%;28;100.00%;99.29%;99.93%
